pattern_name,breakout,trend,volume_ratio,payout,ema_cross,rsi7,macd_hist,adx14,atr14,timestamp,result
unknown,none,down,0.0318894499069891,0.85,True,68.08691004305679,1.0470838960794966e-05,18.439564049632395,0.00017258697381711575,2025-06-25 19:15:10.963534,0
unknown,none,down,0.04046535154274153,0.85,True,64.57495702445257,2.2694748368346134e-05,15.340727521060861,0.0002541610911194009,2025-06-25 19:15:11.316851,0
unknown,none,down,0.030702315466291416,0.85,False,46.030026417407,0.0019980311820139846,21.34834513620265,0.0301832271321263,2025-06-25 19:15:11.647323,0
unknown,none,up,0.0,0.85,True,62.19731173143897,6.06967081270482e-06,19.187226034258238,0.00015163706335155722,2025-06-25 19:15:11.955268,0
unknown,none,down,0.0,0.85,False,54.44689901474073,-9.637631228944172e-06,19.79881384231507,0.0002377421977224431,2025-06-25 19:15:12.250196,0
unknown,none,up,0.061146496815286625,0.85,False,34.97186567971222,-4.749049494969107e-05,26.025233533082705,0.00019780029213888455,2025-06-25 19:15:13.004543,0
unknown,none,down,0.06686077860455085,0.85,True,60.400171904786035,0.0051858044538511715,15.696988445641786,0.03797059426988233,2025-06-25 19:15:13.304480,0
unknown,none,down,0.10094120856636202,0.85,True,54.6781728087184,0.006722815110190473,21.19862639281055,0.0516548954889512,2025-06-25 19:15:13.609657,0
unknown,none,down,0.3424124513618677,0.85,True,64.7575143766282,1.2332296851645644e-05,19.089050608884023,0.0001816551629867285,2025-06-25 19:21:37.271641,0
unknown,none,down,0.33380127905163,0.85,True,68.92413987667592,3.2796693992218716e-05,15.183501908116595,0.00025254896959117553,2025-06-25 19:21:38.084035,0
unknown,none,down,0.37796442687747034,0.85,False,48.95060944632059,0.0026051474019757256,20.758834575922165,0.030495921418260828,2025-06-25 19:21:38.634472,0
unknown,none,up,0.36578171091445427,0.85,True,61.38181443745703,1.016295145911011e-05,18.914395120890642,0.00015475715010803095,2025-06-25 19:21:39.257974,0
unknown,none,down,0.22072936660268713,0.85,False,55.3528942631468,2.0448844232551683e-06,18.255836322100453,0.00024141918975017444,2025-06-25 19:21:39.817981,0
unknown,none,up,0.3025138474648488,0.85,True,50.630131288102305,-3.718789449371652e-06,16.308025191661294,0.00011430281777522578,2025-06-25 19:21:40.371556,0
unknown,none,up,0.25870646766169153,0.85,False,49.38241417321937,-2.7652257840124067e-05,24.69685367927335,0.00021140190673633194,2025-06-25 19:21:40.974955,0
unknown,none,down,0.34663528404835775,0.85,True,64.36004512072398,0.006110762605006032,16.87249002076129,0.038073980172431986,2025-06-25 19:21:41.528799,0
unknown,none,down,0.5495075168481078,0.85,True,61.95868208401355,0.00915585303283069,19.877642640149634,0.05099437230182807,2025-06-25 19:21:42.091052,0
unknown,none,down,0.6968278731149246,0.85,True,49.02754262419747,4.532504388496271e-06,19.13321589221195,0.00018433248086504163,2025-06-25 19:27:53.056188,0
unknown,none,down,0.4032997250229147,0.85,True,60.13333460493046,3.548560899646751e-05,15.786549758392859,0.00025155633968933363,2025-06-25 19:27:53.708612,0
unknown,none,down,0.7280400949617515,0.85,False,49.16474175060338,0.0007574577508826074,22.372073610070395,0.034118245514200125,2025-06-25 19:27:54.374462,0
unknown,none,down,0.24813895781637718,0.85,False,46.86675730351765,3.1193131814186056e-06,17.19617625107962,0.00023338192838309735,2025-06-25 19:27:55.396326,0
unknown,none,up,0.3482373172828891,0.85,False,34.73025434196198,-1.2009098277510366e-05,15.460856349751598,0.00011318692042651074,2025-06-25 19:27:55.997893,0
unknown,none,up,0.23765513599155005,0.85,False,50.68718154249367,-2.3285991018208134e-05,23.493390045872854,0.00020464268667959103,2025-06-25 19:27:56.587418,0
unknown,none,down,1.042302660270388,0.85,True,50.23009683545216,0.0029109746101147497,14.860435556768993,0.039800082378461075,2025-06-25 19:27:57.541412,0
unknown,none,down,0.9613621480026195,0.85,True,55.50531608169266,0.006957189257112572,19.722770083821395,0.05290449220731436,2025-06-25 19:27:58.113938,0
unknown,none,down,0.6128133704735376,0.85,True,50.312808583047655,-1.639444534695054e-06,18.939535168777923,0.00017821469744821585,2025-06-25 19:32:55.655489,0
unknown,none,down,0.9520921770770163,0.85,False,55.4742541247296,0.0026852598169084425,21.124780851300613,0.03474998022260474,2025-06-25 19:32:56.526342,0
unknown,none,down,1.1169369589074503,0.85,True,57.455860918106545,0.0037100255791445123,15.471464411407835,0.040669201097858626,2025-06-25 19:32:58.520421,0
unknown,none,down,0.6881243063263042,0.85,True,48.120441047056424,-3.5539744493878235e-06,18.939535168777923,0.00017821469744821585,2025-06-25 19:33:22.489229,0
unknown,none,down,1.0497737556561086,0.85,False,55.7956397956538,0.0027490774807488235,21.124780851300613,0.03474998022260474,2025-06-25 19:33:23.378806,0
unknown,none,down,1.153705732018985,0.85,True,56.90844475928983,0.003614299083406676,15.471464411407835,0.040669201097858626,2025-06-25 19:33:25.169894,0
unknown,none,down,0.8052950910093767,0.85,True,48.120441047056424,-3.5539744493878235e-06,18.939535168777923,0.00017821469744821585,2025-06-25 19:34:17.736919,0
unknown,none,down,1.174707821396464,0.85,False,56.42469068496059,0.002876712808361376,21.124780851300613,0.03474998022260474,2025-06-25 19:34:18.605964,0
unknown,none,down,1.2177077016373559,0.85,True,57.81314309755453,0.0037738432429394193,15.471464411407835,0.040669201097858626,2025-06-25 19:34:20.414586,0
unknown,none,down,1.1172394286522416,0.85,True,61.14344389086266,0.009033716011761705,18.820407306984766,0.0525487954103692,2025-06-25 19:34:20.988863,0
